"","name","n_in","complete","teval_lik","pkg","n_out","ny_out","nx_out","teval_pred","teval_var","teval_both"
"96","treed",1000,FALSE,0.2362946,"fields",86528,256,338,4.1936825,138.7866554,142.9803379
"97","treed",1000,FALSE,0.2362946,"fields",344925,511,675,16.8258047,NA,NA
"98","treed",1000,FALSE,0.2362946,"fields",1377329,1021,1349,66.5722685,NA,NA
"99","treed",1000,FALSE,0.2362946,"fields",5504577,2041,2697,NA,NA,NA
"100","treed",1000,FALSE,0.2362946,"fields",22008833,4081,5393,NA,NA,NA
"101","treed",1000,FALSE,139.8262186,"geoR",88,8,11,NA,NA,2.1658721
"102","treed",1000,FALSE,139.8262186,"geoR",352,16,22,NA,NA,2.7744375
"103","treed",1000,FALSE,139.8262186,"geoR",1376,32,43,NA,NA,5.1942078
"104","treed",1000,FALSE,139.8262186,"geoR",5440,64,85,NA,NA,14.7252276
"105","treed",1000,FALSE,139.8262186,"geoR",21632,128,169,NA,NA,54.2724056
"106","treed",1000,FALSE,139.8262186,"geoR",86528,256,338,NA,NA,205.8817417
"107","treed",1000,FALSE,139.8262186,"geoR",344925,511,675,NA,NA,NA
"108","treed",1000,FALSE,139.8262186,"geoR",1377329,1021,1349,NA,NA,NA
"109","treed",1000,FALSE,139.8262186,"geoR",5504577,2041,2697,NA,NA,NA
"110","treed",1000,FALSE,139.8262186,"geoR",22008833,4081,5393,NA,NA,NA
"111","treed",1000,FALSE,NA,"gstat",88,8,11,NA,NA,0.3849713
"112","treed",1000,FALSE,NA,"gstat",352,16,22,NA,NA,0.5781717
"113","treed",1000,FALSE,NA,"gstat",1376,32,43,NA,NA,1.3008389
"114","treed",1000,FALSE,NA,"gstat",5440,64,85,NA,NA,4.205803
"115","treed",1000,FALSE,NA,"gstat",21632,128,169,NA,NA,15.7483401
"116","treed",1000,FALSE,NA,"gstat",86528,256,338,NA,NA,61.1910391
"117","treed",1000,FALSE,NA,"gstat",344925,511,675,NA,NA,242.2175018
"118","treed",1000,FALSE,NA,"gstat",1377329,1021,1349,NA,NA,NA
"119","treed",1000,FALSE,NA,"gstat",5504577,2041,2697,NA,NA,NA
"120","treed",1000,FALSE,NA,"gstat",22008833,4081,5393,NA,NA,NA
"121","treed_88",88,TRUE,0.0012455,"snapKrig",88,8,11,0.0032512,0.0075668,0.010818
"122","treed_88",88,TRUE,0.0012455,"snapKrig",352,16,22,0.0033914,0.0079814,0.0113728
"123","treed_88",88,TRUE,0.0012455,"snapKrig",1376,32,43,0.0037412,0.0091666,0.0129078
"124","treed_88",88,TRUE,0.0012455,"snapKrig",5440,64,85,0.0045219,0.0153509,0.0198728
"125","treed_88",88,TRUE,0.0012455,"snapKrig",21632,128,169,0.0092776,0.0486585,0.0579361
"126","treed_88",88,TRUE,0.0012455,"snapKrig",86528,256,338,0.0267698,0.1929564,0.2197262
"127","treed_88",88,TRUE,0.0012455,"snapKrig",344925,511,675,0.0709195,0.4677166,0.5386361
"128","treed_88",88,TRUE,0.0012455,"snapKrig",1377329,1021,1349,0.2902582,2.6205802,2.9108384
"129","treed_88",88,TRUE,0.0012455,"snapKrig",5504577,2041,2697,1.5758811,12.1205807,13.6964618
"130","treed_88",88,TRUE,0.0012455,"snapKrig",22008833,4081,5393,6.5960154,49.5943844,56.1903998
"131","treed_88",88,TRUE,0.0026517,"fields",88,8,11,0.005314,0.1383859,0.1436999
"132","treed_88",88,TRUE,0.0026517,"fields",352,16,22,0.0154041,0.4878052,0.5032093
"133","treed_88",88,TRUE,0.0026517,"fields",1376,32,43,0.0567551,1.8423939,1.899149
"134","treed_88",88,TRUE,0.0026517,"fields",5440,64,85,0.2206621,7.1032787,7.3239408
"135","treed_88",88,TRUE,0.0026517,"fields",21632,128,169,0.8152745,26.319265,27.1345395
"136","treed_88",88,TRUE,0.0026517,"fields",86528,256,338,3.3269744,107.8084232,111.1353976
"137","treed_88",88,TRUE,0.0026517,"fields",344925,511,675,13.0787593,NA,NA
"138","treed_88",88,TRUE,0.0026517,"fields",1377329,1021,1349,52.6217067,NA,NA
"139","treed_88",88,TRUE,0.0026517,"fields",5504577,2041,2697,NA,NA,NA
"140","treed_88",88,TRUE,0.0026517,"fields",22008833,4081,5393,NA,NA,NA
"141","treed_88",88,TRUE,0.1192413,"geoR",88,8,11,NA,NA,0.0098567
"142","treed_88",88,TRUE,0.1192413,"geoR",352,16,22,NA,NA,0.0186685
"143","treed_88",88,TRUE,0.1192413,"geoR",1376,32,43,NA,NA,0.0570705
"144","treed_88",88,TRUE,0.1192413,"geoR",5440,64,85,NA,NA,0.1886499
"145","treed_88",88,TRUE,0.1192413,"geoR",21632,128,169,NA,NA,0.6932775
"146","treed_88",88,TRUE,0.1192413,"geoR",86528,256,338,NA,NA,3.0577683
"147","treed_88",88,TRUE,0.1192413,"geoR",344925,511,675,NA,NA,12.6145165
"148","treed_88",88,TRUE,0.1192413,"geoR",1377329,1021,1349,NA,NA,48.6696349
"149","treed_88",88,TRUE,0.1192413,"geoR",5504577,2041,2697,NA,NA,236.2600312
"150","treed_88",88,TRUE,0.1192413,"geoR",22008833,4081,5393,NA,NA,NA
"151","treed_88",88,TRUE,NA,"gstat",88,8,11,NA,NA,0.0325586
"152","treed_88",88,TRUE,NA,"gstat",352,16,22,NA,NA,0.038628
"153","treed_88",88,TRUE,NA,"gstat",1376,32,43,NA,NA,0.0631537
"154","treed_88",88,TRUE,NA,"gstat",5440,64,85,NA,NA,0.1383409
"155","treed_88",88,TRUE,NA,"gstat",21632,128,169,NA,NA,0.4105358
"156","treed_88",88,TRUE,NA,"gstat",86528,256,338,NA,NA,1.6066714
"157","treed_88",88,TRUE,NA,"gstat",344925,511,675,NA,NA,5.5566382
"158","treed_88",88,TRUE,NA,"gstat",1377329,1021,1349,NA,NA,22.6204357
"159","treed_88",88,TRUE,NA,"gstat",5504577,2041,2697,NA,NA,91.5798018
"160","treed_88",88,TRUE,NA,"gstat",22008833,4081,5393,NA,NA,NA
"161","treed_352",352,TRUE,0.001635,"snapKrig",88,8,11,0.0039068,0.0111742,0.015081
"162","treed_352",352,TRUE,0.001635,"snapKrig",352,16,22,0.0040286,0.0229216,0.0269502
"163","treed_352",352,TRUE,0.001635,"snapKrig",1376,32,43,0.0047755,0.0299069,0.0346824
"164","treed_352",352,TRUE,0.001635,"snapKrig",5440,64,85,0.0068981,0.0590559,0.065954
